AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET1X,AgingMOSFET1Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET4X,AgingMOSFET4Y,AgingMOSFET5X,AgingMOSFET5Y,AgingMOSFET6X,AgingMOSFET6Y,AgingMOSFET7X,AgingMOSFET7Y
5.719451963,4.567814599,4.587292534,4.464062921,4.414171068,4.454092099,3.823359716,4.432726054,7.203350243,4.544610614,6.392702108,4.402400054,6.11790613,4.328422994
5.801890756,4.572409447,4.675227247,4.468290181,4.496609861,4.454092099,3.905798509,4.435712706,7.285789036,4.546601715,6.475140901,4.410441039,6.200344924,4.333477328
5.884329549,4.577234038,4.75766604,4.469484842,4.579048655,4.453326291,3.988237302,4.438469615,7.368227829,4.544610614,6.557579695,4.417563054,6.282783717,4.338991146
5.966768343,4.581828886,4.840104834,4.470863296,4.661487448,4.445821372,4.070676096,4.439618327,7.450666623,4.546678296,6.640018488,4.425374297,6.36522251,4.344275221
6.049207136,4.584815538,4.922543627,4.472471493,4.743926241,4.444213175,4.153114889,4.440384135,7.533105416,4.548286493,6.722457281,4.432726054,6.447661304,4.349099812
6.131645929,4.587802189,5.00498242,4.474539175,4.853844633,4.4389291,4.235553682,4.439618327,7.60867431,4.547872956,6.804896075,4.440537296,6.530100097,4.35461363
6.214084723,4.590099614,5.087421214,4.478215054,4.936283426,4.436861418,4.317992476,4.438699357,7.821641193,4.552421856,6.887334868,4.447659312,6.61253889,4.359897706
6.296523516,4.59262678,5.169860007,4.481354867,5.018722219,4.43617219,4.400431269,4.441915751,7.883470288,4.562071038,6.969773661,4.455240812,6.694977684,4.364952039
6.378962309,4.595383689,5.257205871,4.483794513,5.106068084,4.438502435,4.482870062,4.440077812,7.970489014,4.553340826,7.052212455,4.45983566,6.777416477,4.370465858
6.461401103,4.597910856,5.335719008,4.488520642,5.183599806,4.443983433,4.565308856,4.440077812,7.97277898,4.568274084,7.134651248,4.463281796,6.85985527,4.375749933
6.543839896,4.600667765,5.314127895,4.477296084,5.149250309,4.427671721,4.647747649,4.441456266,,,7.217090041,4.466727933,6.942294064,4.381034009
6.626278689,4.602965189,5.412269316,4.496594448,5.266038599,4.449497251,4.730186442,4.442145493,,,7.299528835,4.470174069,7.024732857,4.386088342
6.708717483,4.605722098,5.49961518,4.50348672,5.29122823,4.432266569,4.812625236,4.441915751,,,7.381967628,4.473390463,7.10717165,4.390683191
6.791156276,4.608249265,5.582053974,4.508081569,5.348477393,4.454092099,4.895064029,4.442834721,,,7.464406422,4.476606857,7.189610444,4.395278039
6.873595069,4.610776432,5.664492767,4.513135902,5.430916186,4.458457205,4.977502823,4.443064463,,,7.546845215,4.480052993,7.272049237,4.40010263
6.956033863,4.613303598,5.74693156,4.517960493,5.513354979,4.462822311,5.059941616,4.446740342,,,7.629284008,4.48349913,7.35448803,4.404927221
7.038472656,4.615141538,5.829370354,4.522095857,5.595793773,4.467187418,5.142380409,4.450875706,,,7.711722802,4.486945266,7.436926824,4.409292327
7.120911449,4.616060507,5.911809147,4.526920447,5.685102465,4.47591763,5.224819203,4.455240812,,,7.794161595,4.49016166,7.519365617,4.413887175
7.203350243,4.617898447,5.99424794,4.531285553,5.760671359,4.482120675,5.310202238,4.457406954,,,7.876600388,4.493378054,7.60180441,4.418711766
7.285789036,4.618587674,6.076686734,4.53381272,5.843110153,4.484035195,5.293518197,4.441456266,,,7.959039182,4.497053932,7.684243204,4.423306615
7.368227829,4.620425613,6.159125527,4.535420917,5.925548946,4.487557912,5.392641032,4.464889993,,,,,7.766681997,4.427901463
7.450666623,4.620655356,6.24156432,4.536799372,6.007987739,4.491080629,5.437786085,4.474342253,,,,,7.84912079,4.432955797
7.533105416,4.622723038,6.324003114,4.539096796,6.090426533,4.495445736,5.403436588,4.446970084,,,,,7.931559584,4.437780387
7.615544209,4.623412265,6.406441907,4.540245508,6.172865326,4.499581099,5.513354979,4.471322781,,,,,7.986518779,4.440767039
7.697983003,4.625020462,6.4888807,4.542083447,6.255304119,4.503180397,5.595793773,4.478291635,,,,,,
7.780421796,4.626169174,6.4957506,4.52623122,6.337742913,4.507009437,5.678232566,4.480895382,,,,,,
7.862860589,4.627088144,6.571319494,4.540015766,6.420181706,4.512676417,5.760671359,4.485107326,,,,,,
7.945299383,4.628696341,6.536969996,4.526920447,6.502620499,4.521406629,5.843110153,4.487864236,,,,,,
7.993388679,4.628926083,6.658665358,4.541820885,6.581624343,4.52623122,5.925548946,4.490850887,,,,,,
,,6.73619708,4.54522326,6.651468321,4.531974781,6.01289481,4.49206524,,,,,,
,,6.818635874,4.547176071,6.74306698,4.539326538,6.095333604,4.495609837,,,,,,
,,6.901074667,4.54897572,6.832375673,4.544840356,6.176681937,4.497207094,,,,,,
,,6.98351346,4.552498437,6.894204768,4.548516235,6.254322705,4.503224158,,,,,,
,,7.065952254,4.5546427,6.976643561,4.554489538,6.339616522,4.504865175,,,,,,
,,7.148391047,4.560616003,7.134651248,4.557705932,6.42533413,4.513997436,,,,,,
,,7.23082984,4.563066589,7.217090041,4.560233099,6.409876857,4.50153391,,,,,,
,,7.313268634,4.568733568,7.299528835,4.562990008,6.50752757,4.520618941,,,,,,
,,7.395707427,4.574477129,7.381967628,4.56505769,6.4957506,4.505784145,,,,,,
,,7.47814622,4.577999846,7.464406422,4.566436144,6.581936611,4.51864972,,,,,,
,,7.560585014,4.583666826,7.546845215,4.565517174,6.664063136,4.528298902,,,,,,
,,7.643023807,4.587572447,7.629284008,4.568733568,6.745029808,4.534994253,,,,,,
